name	chrom	strand	TSS	geneId	geneName
ENSMUST00000111377.7	chr1	+	167689236	ENSMUSG00000026686.14	Lmx1a
ENSMUST00000028003.8	chr1	+	167689556	ENSMUSG00000026686.14	Lmx1a
ENSMUST00000127489.7	chr1	+	187608790	ENSMUSG00000026610.13	Esrrg
ENSMUST00000110939.7	chr1	+	187609028	ENSMUSG00000026610.13	Esrrg
ENSMUST00000152927.1	chr1	+	187609695	ENSMUSG00000026610.13	Esrrg
ENSMUST00000140079.7	chr1	+	6487230	ENSMUSG00000033740.17	St18
ENSMUST00000131494.7	chr1	+	6487330	ENSMUSG00000033740.17	St18
ENSMUST00000043578.12	chr1	+	6730050	ENSMUSG00000033740.17	St18
ENSMUST00000150761.7	chr1	+	6730100	ENSMUSG00000033740.17	St18
ENSMUST00000151281.7	chr1	+	6730101	ENSMUSG00000033740.17	St18
ENSMUST00000163727.3	chr1	+	6737574	ENSMUSG00000033740.17	St18
ENSMUST00000088658.10	chr1	-	9700209	ENSMUSG00000025912.16	Mybl1
ENSMUST00000115468.8	chr1	-	9700024	ENSMUSG00000025912.16	Mybl1
ENSMUST00000188212.1	chr1	-	9699654	ENSMUSG00000025912.16	Mybl1
ENSMUST00000185184.1	chr1	-	9967932	ENSMUSG00000099032.2	Tcf24
ENSMUST00000097824.2	chr1	-	9962809	ENSMUSG00000099032.2	Tcf24
ENSMUST00000037294.7	chr1	+	19103021	ENSMUSG00000042596.7	Tfap2d
ENSMUST00000149505.1	chr1	+	19107180	ENSMUSG00000042596.7	Tfap2d
ENSMUST00000095027.8	chr1	-	38627185	ENSMUSG00000037138.18	Aff3
ENSMUST00000238906.1	chr1	-	38627201	ENSMUSG00000037138.18	Aff3
ENSMUST00000039827.13	chr1	-	38664955	ENSMUSG00000037138.18	Aff3
ENSMUST00000027250.13	chr1	-	38664955	ENSMUSG00000037138.18	Aff3
ENSMUST00000134963.1	chr1	-	38664955	ENSMUSG00000037138.18	Aff3
ENSMUST00000056815.8	chr1	+	39194211	ENSMUSG00000026077.15	Npas2
ENSMUST00000151913.2	chr1	-	39720997	ENSMUSG00000057173.8	Rfx8
ENSMUST00000168302.7	chr1	+	51987147	ENSMUSG00000062939.11	Stat4
ENSMUST00000027277.6	chr1	+	52008242	ENSMUSG00000062939.11	Stat4
ENSMUST00000187053.1	chr1	+	52008625	ENSMUSG00000062939.11	Stat4
ENSMUST00000027267.13	chr1	-	53297018	ENSMUSG00000026098.13	Pms1
ENSMUST00000135246.7	chr1	-	53297017	ENSMUSG00000026098.13	Pms1
ENSMUST00000042857.13	chr1	-	56972502	ENSMUSG00000038331.15	Satb2
ENSMUST00000114415.9	chr1	-	56971858	ENSMUSG00000038331.15	Satb2
ENSMUST00000177424.1	chr1	-	56969872	ENSMUSG00000038331.15	Satb2
ENSMUST00000114086.7	chr1	-	64121491	ENSMUSG00000025959.13	Klf7
ENSMUST00000055001.9	chr1	-	64121482	ENSMUSG00000025959.13	Klf7
ENSMUST00000135075.1	chr1	-	64122282	ENSMUSG00000025959.13	Klf7
ENSMUST00000027146.8	chr1	-	69685821	ENSMUSG00000025997.13	Ikzf2
ENSMUST00000190771.6	chr1	-	69685886	ENSMUSG00000025997.13	Ikzf2
ENSMUST00000187184.6	chr1	-	69687245	ENSMUSG00000025997.13	Ikzf2
ENSMUST00000188110.6	chr1	-	69684157	ENSMUSG00000025997.13	Ikzf2
ENSMUST00000190855.6	chr1	-	69684157	ENSMUSG00000025997.13	Ikzf2
ENSMUST00000191262.6	chr1	-	69684157	ENSMUSG00000025997.13	Ikzf2
ENSMUST00000190016.1	chr1	-	69685300	ENSMUSG00000025997.13	Ikzf2
ENSMUST00000136498.7	chr1	+	72583250	ENSMUSG00000039354.16	Smarcal1
ENSMUST00000047615.14	chr1	+	72583250	ENSMUSG00000039354.16	Smarcal1
ENSMUST00000152225.1	chr1	+	72583614	ENSMUSG00000039354.16	Smarcal1
ENSMUST00000150725.7	chr1	+	72585637	ENSMUSG00000039354.16	Smarcal1
ENSMUST00000113737.7	chr1	-	74588028	ENSMUSG00000026135.17	Zfp142
ENSMUST00000027315.13	chr1	-	74588025	ENSMUSG00000026135.17	Zfp142
ENSMUST00000066986.12	chr1	-	74588145	ENSMUSG00000026135.17	Zfp142
ENSMUST00000156613.7	chr1	-	74588246	ENSMUSG00000026135.17	Zfp142
ENSMUST00000127921.1	chr1	-	74585663	ENSMUSG00000026135.17	Zfp142
ENSMUST00000004994.15	chr1	-	78196838	ENSMUSG00000004872.15	Pax3
ENSMUST00000087086.6	chr1	-	78197134	ENSMUSG00000004872.15	Pax3
ENSMUST00000093508.6	chr1	-	85598817	ENSMUSG00000070034.13	Sp110
ENSMUST00000131950.7	chr1	-	85598749	ENSMUSG00000070034.13	Sp110
ENSMUST00000189505.6	chr1	+	90998736	ENSMUSG00000026305.15	Lrrfip1
