Ensembl	Symbol	Family	Protein	Entrez ID
ENSMUSG00000029313	Aff1	AF-4	ENSMUSP00000119631;ENSMUSP00000031256;ENSMUSP00000059744;	17355
ENSMUSG00000031189	Aff2	AF-4	ENSMUSP00000033532;	14266
ENSMUSG00000037138	Aff3	AF-4	ENSMUSP00000092637;ENSMUSP00000148461;ENSMUSP00000044128;	16764
ENSMUSG00000049470	Aff4	AF-4	ENSMUSP00000120613;ENSMUSP00000118866;ENSMUSP00000051479;	93736
ENSMUSG00000042596	Tfap2d	AP-2	ENSMUSP00000037699;	226896
ENSMUSG00000028640	Tfap2c	AP-2	ENSMUSP00000129922;ENSMUSP00000030391;ENSMUSP00000096657;	21420
ENSMUSG00000025927	Tfap2b	AP-2	ENSMUSP00000064488;ENSMUSP00000140213;ENSMUSP00000027059;	21419
ENSMUSG00000042477	Tfap2e	AP-2	ENSMUSP00000035902;	332937
ENSMUSG00000021359	Tfap2a	AP-2	ENSMUSP00000153271;ENSMUSP00000153522;ENSMUSP00000153149;ENSMUSP00000153667;ENSMUSP00000021787;ENSMUSP00000105822;	21418
ENSMUSG00000007880	Arid1a	ARID	ENSMUSP00000101517;ENSMUSP00000008024;ENSMUSP00000122354;	93760
ENSMUSG00000039219	Arid4b	ARID	ENSMUSP00000106162;ENSMUSP00000043889;ENSMUSP00000106163;ENSMUSP00000118687;ENSMUSP00000106165;	94246
ENSMUSG00000004661	Arid3b	ARID	ENSMUSP00000130173;ENSMUSP00000004780;ENSMUSP00000096283;	56380
ENSMUSG00000037447	Arid5a	ARID	ENSMUSP00000110684;ENSMUSP00000115490;ENSMUSP00000095385;ENSMUSP00000110683;	214855
ENSMUSG00000038518	Jarid2	ARID	ENSMUSP00000134630;ENSMUSP00000037774;ENSMUSP00000134205;ENSMUSP00000134675;	16468
ENSMUSG00000019564	Arid3a	ARID	ENSMUSP00000101015;ENSMUSP00000019708;ENSMUSP00000101016;	13496
ENSMUSG00000019947	Arid5b	ARID	ENSMUSP00000151227;ENSMUSP00000151665;	71371
ENSMUSG00000033237	Arid2	ARID	ENSMUSP00000093969;ENSMUSP00000135829;	77044
ENSMUSG00000069729	Arid1b	ARID	ENSMUSP00000090398;ENSMUSP00000111463;ENSMUSP00000111465;	239985
ENSMUSG00000048118	Arid4a	ARID	ENSMUSP00000121319;ENSMUSP00000035512;	238247
ENSMUSG00000066224	Arid3c	ARID	ENSMUSP00000081748;ENSMUSP00000116411;ENSMUSP00000127678;	550619
ENSMUSG00000021485	Mxd3	bHLH	ENSMUSP00000021941;	17121
ENSMUSG00000019256	Ahr	bHLH	ENSMUSP00000106434;ENSMUSP00000112137;	11622
ENSMUSG00000030256	Bhlhe41	bHLH	ENSMUSP00000032386;ENSMUSP00000107332;	79362
ENSMUSG00000021010	Npas3	bHLH	ENSMUSP00000098975;ENSMUSP00000152411;ENSMUSP00000152452;	27386
ENSMUSG00000035923	Myf6	bHLH	ENSMUSP00000047529;	17878
ENSMUSG00000000435	Myf5	bHLH	ENSMUSP00000000445;	17877
ENSMUSG00000067071	Hes6	bHLH	ENSMUSP00000084062;	55927
ENSMUSG00000099032	Tcf24	bHLH	ENSMUSP00000138827;	100039596
ENSMUSG00000028717	Tal1	bHLH	ENSMUSP00000125202;ENSMUSP00000030489;ENSMUSP00000124983;	21349
ENSMUSG00000085111	Ascl4	bHLH	ENSMUSP00000137794;ENSMUSP00000137650;	67341
ENSMUSG00000020167	Tcf3	bHLH	ENSMUSP00000100983;ENSMUSP00000100979;ENSMUSP00000121172;ENSMUSP00000100981;ENSMUSP00000100982;ENSMUSP00000100978;ENSMUSP00000020379;ENSMUSP00000100977;ENSMUSP00000020377;ENSMUSP00000100980;ENSMUSP00000100976;	21423
ENSMUSG00000042745	Id1	bHLH	ENSMUSP00000105449;ENSMUSP00000092019;	15901
ENSMUSG00000097918	Ascl5	bHLH	ENSMUSP00000137746;	226439
ENSMUSG00000028946	Hes3	bHLH	ENSMUSP00000151815;ENSMUSP00000092006;	15207
ENSMUSG00000004328	Hif3a	bHLH	ENSMUSP00000117728;	53417
ENSMUSG00000022346	Myc	bHLH	ENSMUSP00000140183;ENSMUSP00000123821;ENSMUSP00000022971;ENSMUSP00000124758;ENSMUSP00000123852;ENSMUSP00000130285;ENSMUSP00000141139;	17869
ENSMUSG00000073043	Atoh1	bHLH	ENSMUSP00000098903;	11921
ENSMUSG00000019789	Hey2	bHLH	ENSMUSP00000019924;	15214
ENSMUSG00000020538	Srebf1	bHLH	ENSMUSP00000020846;ENSMUSP00000122934;ENSMUSP00000120777;	20787
ENSMUSG00000038193	Hand2	bHLH	ENSMUSP00000044983;	15111
ENSMUSG00000015522	Arnt	bHLH	ENSMUSP00000015666;ENSMUSP00000102779;ENSMUSP00000099810;ENSMUSP00000088313;	11863
ENSMUSG00000055116	Arntl	bHLH	ENSMUSP00000046235;ENSMUSP00000147764;ENSMUSP00000147823;ENSMUSP00000147989;	11865
ENSMUSG00000034041	Lyl1	bHLH	ENSMUSP00000046010;	17095
ENSMUSG00000007805	Twist2	bHLH	ENSMUSP00000139531;ENSMUSP00000007949;	13345
ENSMUSG00000021575	Ahrr	bHLH	ENSMUSP00000022059;	11624
ENSMUSG00000036816	Atoh7	bHLH	ENSMUSP00000039801;	53404
ENSMUSG00000035158	Mitf	bHLH	ENSMUSP00000098683;ENSMUSP00000144988;ENSMUSP00000044938;ENSMUSP00000145132;ENSMUSP00000108965;ENSMUSP00000044459;	17342
ENSMUSG00000037169	Mycn	bHLH	ENSMUSP00000045993;ENSMUSP00000114225;	18109
ENSMUSG00000045680	Tcf21	bHLH	ENSMUSP00000151767;ENSMUSP00000053178;	21412
ENSMUSG00000026641	Usf1	bHLH	ENSMUSP00000128913;ENSMUSP00000125363;ENSMUSP00000125729;	22278
ENSMUSG00000046518	Ferd3l	bHLH	ENSMUSP00000058994;	114712
ENSMUSG00000035951	Ascl3	bHLH	ENSMUSP00000037702;	56787
ENSMUSG00000027794	Sohlh2	bHLH	ENSMUSP00000029369;	74434
ENSMUSG00000028417	Tal2	bHLH	ENSMUSP00000030124;	21350
ENSMUSG00000006642	Tcf23	bHLH	ENSMUSP00000006818;	69852
ENSMUSG00000059436	Max	bHLH	ENSMUSP00000106025;ENSMUSP00000080778;	17187
ENSMUSG00000001156	Mxd1	bHLH	ENSMUSP00000145081;ENSMUSP00000001184;	17119
ENSMUSG00000030543	Mesp2	bHLH	ENSMUSP00000103017;	17293
ENSMUSG00000045493	Bhlhe23	bHLH	ENSMUSP00000104506;	140489
ENSMUSG00000046160	Olig1	bHLH	ENSMUSP00000061408;	50914
ENSMUSG00000029238	Clock	bHLH	ENSMUSP00000074656;ENSMUSP00000144022;ENSMUSP00000143939;	12753
ENSMUSG00000053477	Tcf4	bHLH	ENSMUSP00000144169;ENSMUSP00000110628;ENSMUSP00000067318;ENSMUSP00000144647;ENSMUSP00000144285;ENSMUSP00000077577;ENSMUSP00000144221;ENSMUSP00000143875;ENSMUSP00000144670;ENSMUSP00000144273;ENSMUSP00000144646;ENSMUSP00000143950;ENSMUSP00000143820;ENSMUSP00000144407;ENSMUSP00000144209;ENSMUSP00000144512;ENSMUSP00000143987;ENSMUSP00000110629;ENSMUSP00000143857;ENSMUSP00000110633;ENSMUSP00000144219;ENSMUSP00000110631;ENSMUSP00000110636;	21413
ENSMUSG00000019913	Sim1	bHLH	ENSMUSP00000020071;ENSMUSP00000151816;	20464
ENSMUSG00000058239	Usf2	bHLH	ENSMUSP00000132833;ENSMUSP00000130298;ENSMUSP00000132021;ENSMUSP00000132256;ENSMUSP00000125520;	22282
ENSMUSG00000038342	Mlxip	bHLH	ENSMUSP00000064943;ENSMUSP00000120510;	208104
ENSMUSG00000000282	Mnt	bHLH	ENSMUSP00000118435;ENSMUSP00000000291;	17428
ENSMUSG00000039830	Olig2	bHLH	ENSMUSP00000036797;	50913
ENSMUSG00000000134	Tfe3	bHLH	ENSMUSP00000111343;ENSMUSP00000078498;ENSMUSP00000076864;ENSMUSP00000111341;ENSMUSP00000111342;ENSMUSP00000099219;ENSMUSP00000134125;	209446
ENSMUSG00000028654	Mycl	bHLH	ENSMUSP00000030407;ENSMUSP00000101859;	16918
ENSMUSG00000029553	Tfec	bHLH	ENSMUSP00000031533;	21426
ENSMUSG00000038932	Tcfl5	bHLH	ENSMUSP00000040611;	277353
ENSMUSG00000062713	Sim2	bHLH	ENSMUSP00000072043;	20465
ENSMUSG00000068079	Tcf15	bHLH	ENSMUSP00000086511;	21407
ENSMUSG00000038255	Neurod2	bHLH	ENSMUSP00000041373;	18013
ENSMUSG00000040289	Hey1	bHLH	ENSMUSP00000038014;	15213
ENSMUSG00000017801	Mlx	bHLH	ENSMUSP00000017945;ENSMUSP00000121600;ENSMUSP00000102923;ENSMUSP00000102924;	21428
ENSMUSG00000025025	Mxi1	bHLH	ENSMUSP00000025998;ENSMUSP00000003870;ENSMUSP00000107366;	17859
ENSMUSG00000068284	Usf3	bHLH	ENSMUSP00000085694;ENSMUSP00000112620;ENSMUSP00000128627;	207806
ENSMUSG00000026735	Ptf1a	bHLH	ENSMUSP00000028068;	19213
ENSMUSG00000037984	Neurod6	bHLH	ENSMUSP00000047016;	11922
ENSMUSG00000025128	Bhlhe22	bHLH	ENSMUSP00000026120;	59058
ENSMUSG00000005373	Mlxipl	bHLH	ENSMUSP00000116358;ENSMUSP00000122198;ENSMUSP00000121668;ENSMUSP00000005507;ENSMUSP00000121348;	58805
ENSMUSG00000009471	Myod1	bHLH	ENSMUSP00000072330;	17927
ENSMUSG00000048904	Neurog1	bHLH	ENSMUSP00000050484;	18014
ENSMUSG00000028940	Hes2	bHLH	ENSMUSP00000030782;	15206
ENSMUSG00000048015	Neurod4	bHLH	ENSMUSP00000051379;	11923
ENSMUSG00000020052	Ascl1	bHLH	ENSMUSP00000020243;	17172
ENSMUSG00000034161	Scx	bHLH	ENSMUSP00000043668;	20289
ENSMUSG00000037621	Atoh8	bHLH	ENSMUSP00000036981;ENSMUSP00000145790;	71093
ENSMUSG00000026077	Npas2	bHLH	ENSMUSP00000054719;ENSMUSP00000134241;	18143
ENSMUSG00000015709	Arnt2	bHLH	ENSMUSP00000146776;ENSMUSP00000082154;ENSMUSP00000147129;ENSMUSP00000146868;ENSMUSP00000146413;ENSMUSP00000146599;ENSMUSP00000146414;	11864
ENSMUSG00000020644	Id2	bHLH	ENSMUSP00000152052;ENSMUSP00000152069;ENSMUSP00000020974;	15902
ENSMUSG00000032744	Heyl	bHLH	ENSMUSP00000040576;	56198
ENSMUSG00000025930	Msc	bHLH	ENSMUSP00000027062;	17681
ENSMUSG00000001988	Npas1	bHLH	ENSMUSP00000147412;ENSMUSP00000002053;	18142
ENSMUSG00000045591	Olig3	bHLH	ENSMUSP00000057106;	94222
ENSMUSG00000009248	Ascl2	bHLH	ENSMUSP00000009392;ENSMUSP00000113012;	17173
ENSMUSG00000044597	Mycs	bHLH	ENSMUSP00000054158;	17870
ENSMUSG00000007872	Id3	bHLH	ENSMUSP00000008016;	15903
ENSMUSG00000022528	Hes1	bHLH	ENSMUSP00000023171;	15205
ENSMUSG00000048001	Hes5	bHLH	ENSMUSP00000051118;	15208
ENSMUSG00000032228	Tcf12	bHLH	ENSMUSP00000034755;ENSMUSP00000139365;ENSMUSP00000138978;ENSMUSP00000139364;ENSMUSP00000138925;ENSMUSP00000139334;ENSMUSP00000138832;	21406
ENSMUSG00000051251	Nhlh1	bHLH	ENSMUSP00000057489;	18071
ENSMUSG00000047171	Helt	bHLH	ENSMUSP00000147465;ENSMUSP00000054823;	234219
ENSMUSG00000034701	Neurod1	bHLH	ENSMUSP00000040364;	18012
ENSMUSG00000027967	Neurog2	bHLH	ENSMUSP00000029587;	11924
ENSMUSG00000030544	Mesp1	bHLH	ENSMUSP00000032760;	17292
ENSMUSG00000035799	Twist1	bHLH	ENSMUSP00000040089;	22160
ENSMUSG00000044312	Neurog3	bHLH	ENSMUSP00000054054;ENSMUSP00000151551;	11925
ENSMUSG00000059625	Sohlh1	bHLH	ENSMUSP00000076253;	227631
ENSMUSG00000044243	Bhlha9	bHLH	ENSMUSP00000050516;	320522
ENSMUSG00000023990	Tfeb	bHLH	ENSMUSP00000108913;ENSMUSP00000108909;ENSMUSP00000084151;ENSMUSP00000024786;ENSMUSP00000120311;	21425
ENSMUSG00000047002	Msgn1	bHLH	ENSMUSP00000055001;	56184
ENSMUSG00000005718	Tfap4	bHLH	ENSMUSP00000155303;ENSMUSP00000005862;ENSMUSP00000155803;	83383
